序号,省级类,省级,地级类,地级,适宜性均值
343,省,甘肃省,地级市,张掖市,0.0737
344,省,福建省,地级市,漳州市,0.3246
345,省,吉林省,地级市,长春市,0.3378
346,省,湖南省,地级市,长沙市,0.377
347,省,山西省,地级市,长治市,0.4076
348,省,云南省,地级市,昭通市,0.3239
349,省,广东省,地级市,肇庆市,0.2981
350,省,江苏省,地级市,镇江市,0.6738
351,省,广东省,地级市,中山市,0.3263
352,自治区,宁夏回族自治区,地级市,中卫市,0.2021
353,直辖市,重庆市,不统计,不统计,0.4013
354,省,浙江省,地级市,舟山市,0.0099
355,省,河南省,地级市,周口市,0.3908
356,省,广东省,地级市,珠海市,0.3123
357,省,湖南省,地级市,株洲市,0.3587
358,省,河南省,地级市,驻马店市,0.4407
359,省,四川省,地级市,资阳市,0.4134
360,省,山东省,地级市,淄博市,0.5359
361,省,四川省,地级市,自贡市,0.4306
362,省,贵州省,地级市,遵义市,0.4606
363,省,海南省,地级市,三沙市,0.0099
364,省,山东省,地级市,济宁市,0.5402
365,自治区,新疆维吾尔自治区,不统计,不统计,0.0446
366,省,江苏省,地级市,徐州市,0.4956
367,自治区,新疆维吾尔自治区,不统计,不统计,0.0272
368,省,辽宁省,地级市,丹东市,0.454
369,省,河南省,地级市,郑州市,0.5702
370,自治区,新疆维吾尔自治区,不统计,不统计,0.1303
371,自治区,新疆维吾尔自治区,地区,塔城地区,0.0664
372,省,四川省,自治州,阿坝藏族羌族自治州,0.0625
